sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
1954;BME280;977;42.704;23.354;2021-04-09T04:47:00;96211.81;;;-0.27;76.00
1954;BME280;977;42.704;23.354;2021-04-09T04:49:26;96217.66;;;-0.09;75.10
1954;BME280;977;42.704;23.354;2021-04-09T04:51:51;96220.09;;;0.22;73.77
1954;BME280;977;42.704;23.354;2021-04-09T04:54:17;96216.47;;;0.27;73.26
1954;BME280;977;42.704;23.354;2021-04-09T04:56:42;96217.69;;;0.49;72.66
1954;BME280;977;42.704;23.354;2021-04-09T04:59:34;96229.00;;;0.75;70.99
1954;BME280;977;42.704;23.354;2021-04-09T05:01:59;96215.44;;;0.88;70.60
1954;BME280;977;42.704;23.354;2021-04-09T05:04:24;96227.69;;;1.11;69.27
1954;BME280;977;42.704;23.354;2021-04-09T05:06:50;96223.13;;;1.02;69.49
1954;BME280;977;42.704;23.354;2021-04-09T05:09:15;96230.63;;;1.34;69.10
1954;BME280;977;42.704;23.354;2021-04-09T05:11:41;96230.19;;;1.54;67.71
1954;BME280;977;42.704;23.354;2021-04-09T05:14:06;96238.78;;;1.67;67.20
1954;BME280;977;42.704;23.354;2021-04-09T05:16:32;96230.66;;;1.88;65.99
1954;BME280;977;42.704;23.354;2021-04-09T05:18:57;96232.16;;;2.04;65.25
1954;BME280;977;42.704;23.354;2021-04-09T05:21:23;96230.81;;;2.12;64.12
1954;BME280;977;42.704;23.354;2021-04-09T05:23:49;96240.31;;;2.24;64.25
1954;BME280;977;42.704;23.354;2021-04-09T05:26:14;96247.13;;;2.38;62.89
1954;BME280;977;42.704;23.354;2021-04-09T05:28:39;96240.91;;;2.67;61.28
1954;BME280;977;42.704;23.354;2021-04-09T05:31:05;96244.81;;;2.86;60.89
1954;BME280;977;42.704;23.354;2021-04-09T05:33:30;96243.78;;;3.26;59.38
1954;BME280;977;42.704;23.354;2021-04-09T05:35:55;96238.19;;;3.45;59.02
1954;BME280;977;42.704;23.354;2021-04-09T05:38:21;96241.00;;;3.66;57.83
1954;BME280;977;42.704;23.354;2021-04-09T05:40:46;96247.44;;;4.08;56.53
1954;BME280;977;42.704;23.354;2021-04-09T05:43:12;96251.66;;;4.33;56.32
1954;BME280;977;42.704;23.354;2021-04-09T05:45:37;96253.50;;;4.31;55.70
1954;BME280;977;42.704;23.354;2021-04-09T05:48:03;96251.00;;;4.43;55.50
1954;BME280;977;42.704;23.354;2021-04-09T05:50:31;96242.94;;;4.47;54.85
1954;BME280;977;42.704;23.354;2021-04-09T05:52:57;96243.09;;;4.79;54.36
1954;BME280;977;42.704;23.354;2021-04-09T05:55:22;96240.09;;;4.97;53.43
1954;BME280;977;42.704;23.354;2021-04-09T05:57:48;96249.72;;;5.06;53.07
1954;BME280;977;42.704;23.354;2021-04-09T06:00:14;96253.72;;;5.10;53.46
1954;BME280;977;42.704;23.354;2021-04-09T06:02:41;96255.38;;;5.33;52.19
1954;BME280;977;42.704;23.354;2021-04-09T06:05:07;96246.91;;;5.43;52.04
1954;BME280;977;42.704;23.354;2021-04-09T06:07:33;96243.28;;;5.56;51.61
1954;BME280;977;42.704;23.354;2021-04-09T06:09:58;96251.91;;;5.78;50.97
1954;BME280;977;42.704;23.354;2021-04-09T06:12:24;96252.53;;;5.70;50.71
1954;BME280;977;42.704;23.354;2021-04-09T06:14:49;96257.28;;;6.08;50.05
1954;BME280;977;42.704;23.354;2021-04-09T06:17:17;96247.88;;;6.39;49.38
1954;BME280;977;42.704;23.354;2021-04-09T06:19:42;96274.22;;;6.65;48.83
1954;BME280;977;42.704;23.354;2021-04-09T06:22:08;96265.78;;;6.63;48.94
1954;BME280;977;42.704;23.354;2021-04-09T06:24:33;96260.84;;;6.60;48.90
1954;BME280;977;42.704;23.354;2021-04-09T06:26:59;96261.50;;;6.74;48.52
1954;BME280;977;42.704;23.354;2021-04-09T06:29:24;96270.94;;;6.84;48.66
1954;BME280;977;42.704;23.354;2021-04-09T06:31:49;96271.53;;;6.88;48.46
1954;BME280;977;42.704;23.354;2021-04-09T06:34:15;96276.38;;;7.02;47.94
1954;BME280;977;42.704;23.354;2021-04-09T06:36:40;96272.75;;;7.35;47.78
1954;BME280;977;42.704;23.354;2021-04-09T06:39:06;96262.19;;;7.48;46.87
1954;BME280;977;42.704;23.354;2021-04-09T06:41:33;96294.63;;;7.62;46.84
1954;BME280;977;42.704;23.354;2021-04-09T06:44:00;96270.72;;;7.79;46.68
1954;BME280;977;42.704;23.354;2021-04-09T06:46:25;96269.78;;;7.90;46.60
1954;BME280;977;42.704;23.354;2021-04-09T06:48:51;96268.19;;;8.18;45.67
1954;BME280;977;42.704;23.354;2021-04-09T06:51:16;96274.09;;;8.30;44.91
1954;BME280;977;42.704;23.354;2021-04-09T06:53:47;96262.22;;;8.27;45.22
1954;BME280;977;42.704;23.354;2021-04-09T06:56:14;96279.06;;;8.72;44.31
1954;BME280;977;42.704;23.354;2021-04-09T06:58:43;96281.75;;;8.80;43.86
1954;BME280;977;42.704;23.354;2021-04-09T07:01:10;96283.41;;;8.90;42.87
1954;BME280;977;42.704;23.354;2021-04-09T07:03:37;96275.75;;;9.08;43.42
1954;BME280;977;42.704;23.354;2021-04-09T07:06:29;96287.44;;;9.32;42.16
1954;BME280;977;42.704;23.354;2021-04-09T07:08:55;96276.91;;;9.70;41.15
1954;BME280;977;42.704;23.354;2021-04-09T07:11:21;96272.41;;;9.63;41.25
1954;BME280;977;42.704;23.354;2021-04-09T07:13:52;96273.38;;;10.17;39.42
1954;BME280;977;42.704;23.354;2021-04-09T07:16:18;96278.41;;;10.28;39.47
1954;BME280;977;42.704;23.354;2021-04-09T07:18:54;96287.16;;;10.63;39.15
1954;BME280;977;42.704;23.354;2021-04-09T07:23:47;96291.63;;;10.35;38.78
1954;BME280;977;42.704;23.354;2021-04-09T07:26:42;96281.59;;;10.58;38.01
1954;BME280;977;42.704;23.354;2021-04-09T07:29:38;96295.34;;;10.68;37.44
1954;BME280;977;42.704;23.354;2021-04-09T07:37:23;96297.88;;;11.73;36.46
1954;BME280;977;42.704;23.354;2021-04-09T07:40:01;96294.13;;;11.76;35.52
1954;BME280;977;42.704;23.354;2021-04-09T07:42:36;96293.34;;;12.18;35.45
1954;BME280;977;42.704;23.354;2021-04-09T07:45:07;96299.75;;;12.23;34.73
1954;BME280;977;42.704;23.354;2021-04-09T07:47:38;96289.28;;;11.81;33.87
1954;BME280;977;42.704;23.354;2021-04-09T07:55:26;96309.34;;;12.15;33.37
1954;BME280;977;42.704;23.354;2021-04-09T07:57:54;96297.13;;;11.81;33.27
1954;BME280;977;42.704;23.354;2021-04-09T08:00:27;96286.50;;;10.96;33.95
1954;BME280;977;42.704;23.354;2021-04-09T08:02:56;96305.38;;;10.63;34.90
1954;BME280;977;42.704;23.354;2021-04-09T08:05:24;96298.41;;;10.45;34.74
1954;BME280;977;42.704;23.354;2021-04-09T08:07:50;96289.56;;;11.18;34.02
1954;BME280;977;42.704;23.354;2021-04-09T08:10:18;96292.50;;;11.75;33.10
1954;BME280;977;42.704;23.354;2021-04-09T08:12:50;96280.38;;;12.42;32.23
1954;BME280;977;42.704;23.354;2021-04-09T08:15:20;96283.19;;;12.57;31.89
1954;BME280;977;42.704;23.354;2021-04-09T08:17:56;96277.50;;;12.86;31.20
1954;BME280;977;42.704;23.354;2021-04-09T08:20:22;96281.59;;;12.14;32.03
1954;BME280;977;42.704;23.354;2021-04-09T08:22:48;96290.47;;;12.29;33.41
1954;BME280;977;42.704;23.354;2021-04-09T08:25:15;96297.72;;;12.84;31.96
1954;BME280;977;42.704;23.354;2021-04-09T08:27:41;96293.66;;;13.06;31.04
1954;BME280;977;42.704;23.354;2021-04-09T08:30:07;96284.91;;;13.71;30.95
1954;BME280;977;42.704;23.354;2021-04-09T08:32:33;96280.47;;;13.79;30.64
1954;BME280;977;42.704;23.354;2021-04-09T08:35:00;96271.16;;;13.69;29.54
1954;BME280;977;42.704;23.354;2021-04-09T08:37:26;96287.13;;;14.61;29.80
1954;BME280;977;42.704;23.354;2021-04-09T08:39:53;96267.88;;;14.45;28.48
1954;BME280;977;42.704;23.354;2021-04-09T08:42:20;96285.72;;;14.50;29.44
1954;BME280;977;42.704;23.354;2021-04-09T08:44:46;96285.28;;;14.38;29.53
1954;BME280;977;42.704;23.354;2021-04-09T08:47:15;96279.38;;;14.05;29.98
1954;BME280;977;42.704;23.354;2021-04-09T08:49:41;96282.22;;;13.87;30.06
1954;BME280;977;42.704;23.354;2021-04-09T08:52:07;96296.00;;;13.73;29.53
1954;BME280;977;42.704;23.354;2021-04-09T08:54:34;96279.25;;;13.43;29.91
1954;BME280;977;42.704;23.354;2021-04-09T08:57:01;96283.88;;;13.08;31.24
1954;BME280;977;42.704;23.354;2021-04-09T08:59:40;96290.84;;;12.42;31.26
1954;BME280;977;42.704;23.354;2021-04-09T09:02:20;96287.97;;;13.27;30.78
1954;BME280;977;42.704;23.354;2021-04-09T09:26:39;96292.06;;;12.22;30.64
1954;BME280;977;42.704;23.354;2021-04-09T09:39:48;96274.88;;;13.91;28.85
1954;BME280;977;42.704;23.354;2021-04-09T09:47:26;96276.84;;;14.82;26.68
1954;BME280;977;42.704;23.354;2021-04-09T09:53:01;96262.72;;;14.29;25.54
1954;BME280;977;42.704;23.354;2021-04-09T09:55:45;96262.31;;;14.71;26.88
1954;BME280;977;42.704;23.354;2021-04-09T09:58:22;96269.97;;;15.19;25.93
1954;BME280;977;42.704;23.354;2021-04-09T10:00:57;96268.41;;;15.62;25.49
1954;BME280;977;42.704;23.354;2021-04-09T10:03:25;96261.69;;;15.45;25.00
1954;BME280;977;42.704;23.354;2021-04-09T10:05:55;96265.22;;;14.53;25.77
1954;BME280;977;42.704;23.354;2021-04-09T10:08:28;96253.72;;;14.31;25.58
1954;BME280;977;42.704;23.354;2021-04-09T10:11:05;96248.31;;;14.64;24.91
1954;BME280;977;42.704;23.354;2021-04-09T10:13:42;96246.75;;;15.16;25.48
1954;BME280;977;42.704;23.354;2021-04-09T10:16:18;96247.84;;;15.36;25.22
1954;BME280;977;42.704;23.354;2021-04-09T10:23:46;96250.00;;;15.18;25.17
1954;BME280;977;42.704;23.354;2021-04-09T10:26:13;96238.91;;;15.45;24.61
1954;BME280;977;42.704;23.354;2021-04-09T10:28:40;96239.44;;;15.55;24.37
1954;BME280;977;42.704;23.354;2021-04-09T10:31:15;96228.47;;;15.37;24.29
1954;BME280;977;42.704;23.354;2021-04-09T10:33:46;96232.31;;;15.79;23.97
1954;BME280;977;42.704;23.354;2021-04-09T10:38:44;96234.91;;;15.20;24.71
1954;BME280;977;42.704;23.354;2021-04-09T10:44:01;96218.00;;;16.54;23.98
1954;BME280;977;42.704;23.354;2021-04-09T10:46:31;96222.19;;;17.13;23.26
1954;BME280;977;42.704;23.354;2021-04-09T10:49:02;96217.19;;;16.53;22.81
1954;BME280;977;42.704;23.354;2021-04-09T10:51:33;96207.19;;;16.85;23.27
1954;BME280;977;42.704;23.354;2021-04-09T10:53:59;96204.50;;;17.06;22.96
1954;BME280;977;42.704;23.354;2021-04-09T10:56:25;96205.81;;;17.17;22.57
1954;BME280;977;42.704;23.354;2021-04-09T10:58:51;96204.06;;;17.31;23.11
1954;BME280;977;42.704;23.354;2021-04-09T11:01:17;96198.44;;;16.56;23.71
1954;BME280;977;42.704;23.354;2021-04-09T11:03:48;96199.53;;;16.26;24.10
1954;BME280;977;42.704;23.354;2021-04-09T11:06:13;96194.53;;;16.31;23.59
1954;BME280;977;42.704;23.354;2021-04-09T11:08:42;96207.69;;;16.95;23.42
1954;BME280;977;42.704;23.354;2021-04-09T11:11:12;96189.03;;;16.90;23.41
1954;BME280;977;42.704;23.354;2021-04-09T11:13:40;96196.88;;;15.68;22.95
1954;BME280;977;42.704;23.354;2021-04-09T11:16:08;96184.34;;;14.96;24.29
1954;BME280;977;42.704;23.354;2021-04-09T11:18:51;96195.13;;;13.39;26.03
1954;BME280;977;42.704;23.354;2021-04-09T11:24:13;96191.28;;;14.43;26.34
1954;BME280;977;42.704;23.354;2021-04-09T11:26:39;96185.25;;;15.48;24.13
1954;BME280;977;42.704;23.354;2021-04-09T11:29:05;96171.91;;;16.30;23.80
1954;BME280;977;42.704;23.354;2021-04-09T11:31:31;96175.00;;;16.83;23.20
